Ngày,ABS,ABT,ACB,ACC,ADG,ADS,AGG,AGM,APH,ASG,ASM,AST,AAM,BBC,BCG,BCM,BCF,BHN,BIC,BID,BMC,BMI,BMP,BSI,BVH,C32,C47,CAV,CCI,CCL,CDC,CII,CLC,CLL,CMG,CRC,CTD,CTI,DAG,DBD,DC4,DCM,DGW,DHA,DHC,DHG,DIG,DMC,DPM,DQC,HAG,HAH,HBC,HCM,HDC,HHS,HNG,HPG,HQC,HSG
23-12-2021,29.90,39.50,32.50,26,49.25,38.75,53.20,37,37.50,28.65,23.40,52.10,12.25,63,24.05,67.40,39.20,60.30,29.10,34.50,24.80,44.85,58.50,38.20,54.90,32.20,25.05,59,25.20,19.95,16.80,39.10,37,33.35,58,10.80,95.70,24.75,15.35,52.30,24.60,38.80,118.10,51.10,83.90,123.30,89.60,53,55.50,29,14.90,67.10,28.05,43.40,92,12.10,11.75,44.95,9.07,35.10
22-12-2021,28.60,39.50,32.70,25.95,49.45,39.10,53.10,36.70,37.50,28.80,22.70,52.90,12.80,64,24.70,68.30,39.20,60.50,29.20,34.27,24.95,45.80,61,40.55,56.50,33.30,25.50,59.20,25.30,19.25,16.80,42,37.20,33.50,59.40,11.15,90.50,25.65,15.80,52.50,25,38.75,121,51.80,84.20,127.90,96.30,52.80,54,28.15,14.50,68.90,26.25,45,98.80,11.80,11,45.10,9.10,34.35
21-12-2021,28.70,37.50,32.80,26.20,49.70,37.95,51.20,36.50,36.15,28.85,21.25,51,12.90,63,24.90,67.90,39.20,60.10,29.65,34.67,24.95,46.50,62.20,42.40,57,32.80,24.90,59.90,25,18,16.70,41.15,37.20,33.95,59.30,11.05,89.10,25.15,16.15,52.30,25.60,40.05,122.20,52.10,84.90,130,93,53.60,53.90,28.40,13.60,69.40,25.95,45.80,101.60,12.95,11.10,46.10,8.60,34.85
20-12-2021,27.50,37.50,33.10,26.25,49.85,38.30,50.40,37.20,33.80,29,21.10,52.70,12.50,62.30,24.75,68,39.20,61.10,29.50,35.30,25.45,44.70,62.20,43.20,56.60,31.50,23.80,59,25.50,17.75,16.20,38.50,37.40,34,59.30,10.95,88.80,25.25,15.80,52.20,25.25,37.80,123.80,52.90,84.90,128.50,87,53.80,50.40,28.80,12.75,68.70,25.50,47,101.10,12.50,10.70,46.90,8.26,35.70
17-12-2021,27.75,37.30,33.20,26,50.50,38.30,51,37,34.65,28.95,21.30,53.60,12.30,63.10,25.30,67.90,39.20,60.50,29.30,35.54,26,44.50,60.50,42.50,57.60,31.50,23.75,60,24.60,18.20,16.70,36,37.95,34,60.40,11.30,91.30,24.45,14.80,52.30,24.15,37.90,124.90,52.30,85.30,123.60,91,54.80,49.90,28.90,12.15,70.60,26.50,46.15,104.80,12.65,10.40,46.70,8,36.10
16-12-2021,27.65,37.50,33,25.85,50.40,36.20,51.40,37.60,35.55,29.20,21.70,53.90,12.50,63.70,25.15,67.30,39.20,61.30,29.15,35.54,26.10,43.40,59.80,40.90,58,31.90,23,59.10,24.30,18.75,16.90,33.85,37.50,34,60.10,11.35,91.30,23.70,14.35,52.50,22.60,37.50,122.70,52.30,86.10,130,87.20,54.30,49.80,29,13.05,71.80,27,43.50,101.10,12.75,11.15,47.50,8.60,37.15
15-12-2021,27,37.50,33.40,25.90,49.75,35.30,48.10,36.70,36,29,21.65,52.50,12.40,61.40,24.90,63,39.20,60.10,29.40,35.54,26.30,43.25,60.20,41.20,58.20,31.90,24.10,60,25.35,18.25,16.40,31.65,37.80,34,60.30,11.55,91.20,23,14.75,53.20,22.55,38.25,123.60,51.70,87.30,135.80,81.50,55,51,29.05,12.20,72.20,26.05,44.20,101,11.95,10.60,47.80,8.05,37.50
14-12-2021,26.60,37,33.30,25.80,49.90,35.35,48.50,36.25,35.90,29.50,21.35,53,12.50,66,25.75,58.90,39.20,60.10,29.60,35.85,27,44.35,60,42,58.50,32.50,24.60,58.60,24.95,18.05,17,31.95,38,34,60.50,11.25,88.30,23.35,14.80,53.10,22.50,38.10,123.70,52,86.70,134.20,77.90,53.80,50.50,28.95,12,68.90,27.20,45.10,105.80,11.80,11.20,47.70,7.70,37.60
13-12-2021,24.90,37,33.40,25.85,49.75,34.70,47.40,36.40,36.40,29.10,21.60,53.80,12.60,67.80,25.95,55.50,39,60,29.15,36.01,26.20,43.40,58.10,42.05,59.20,33.45,24.20,58.60,25.70,18.15,16.90,29.90,37.30,34.20,61.50,11.25,90.50,24,15.20,52.10,22.55,37.35,127,52.90,88.10,133.20,73.20,53.70,50,28.25,11.25,69.20,27.10,44.70,105.80,12.10,10.90,46.55,7.28,35.15
10-12-2021,23.80,37,33.40,25.60,50,34.70,44.30,36.50,36.80,29.50,20.40,53.50,12.65,64.20,25.75,53.80,39,60,29.50,35.30,26.20,42.55,58.40,42,58.80,32.40,24.10,60.10,24.75,17,16.20,27.95,37.50,33.65,62,10.95,89.90,22.65,14.95,53.30,22.40,37.65,129,51.80,88.60,124.50,68.50,54.30,50.50,28.20,10.55,69.20,25.35,43.80,104.90,11.35,10.20,46.50,6.81,34.50
